City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tosya,41.0155,34.0401,33.82,83,38,2.73,TR,1673196029
Punta Arenas,-53.15,-70.9167,57.31,54,0,11.5,CL,1673196030
Umluj,25.0213,37.2685,71.89,51,100,6.13,SA,1673196031
Mar del Plata,-38.0023,-57.5575,85.82,80,20,21.0,AR,1673196033
Albany,42.6001,-73.9662,30.63,67,2,3.09,US,1673196034
Oga,46.4631,10.347,34.34,98,100,5.1,IT,1673196036
Vaini,-21.2,-175.2,75.36,100,75,0.0,TO,1673196037
Pevek,69.7008,170.3133,-30.12,99,38,4.38,RU,1673196038
Rikitea,-23.1203,-134.9692,77.85,76,18,18.01,PF,1673195965
Swan Hill,-35.3378,143.5544,76.37,26,63,6.4,AU,1673196041
Ust'-Karsk,52.7011,118.8077,-17.14,100,87,2.77,RU,1673196042
Geraldton,-28.7667,114.6,68.41,83,0,13.8,AU,1673196043
Barrow,71.2906,-156.7887,-2.18,78,100,14.97,US,1673196045
Souillac,-20.5167,57.5167,79.18,78,40,8.05,MU,1673196046
Kholm-Zhirkovskiy,55.5189,33.4731,3.97,94,15,5.73,RU,1673196047
Kruisfontein,-34.0033,24.7314,73.9,61,74,11.59,ZA,1673196049
Goundam,16.4145,-3.6708,84.88,12,83,14.74,ML,1673196050
Zelenoborskiy,66.845,32.3622,-5.03,96,57,4.56,RU,1673196051
North Platte,41.1239,-100.7654,21.09,73,0,4.61,US,1673196053
Bethel,41.3712,-73.414,37.54,59,0,8.05,US,1673196054
Camacha,33.0833,-16.3333,65.62,77,40,10.36,PT,1673196055
Ushuaia,-54.8,-68.3,65.86,34,20,5.75,AR,1673196057
Torbay,47.6666,-52.7314,32.58,81,75,9.22,CA,1673196058
Namatanai,-3.6667,152.4333,78.69,83,95,4.92,PG,1673196059
Komarikhinskiy,58.0979,57.1163,-19.17,100,100,3.49,RU,1673196061
Puerto Ayora,-0.7393,-90.3518,80.56,92,15,3.0,EC,1673196010
Khandyga,62.6667,135.6,-40.22,96,90,2.91,RU,1673196063
Erenhot,43.6475,111.9767,21.0,59,100,5.48,CN,1673196065
Ilulissat,69.2167,-51.1,3.22,66,0,4.61,GL,1673196067
Hermanus,-34.4187,19.2345,75.79,76,1,12.33,ZA,1673196068
New Norfolk,-42.7826,147.0587,60.3,67,2,3.02,AU,1673196069
Port Alfred,-33.5906,26.891,74.17,76,80,7.0,ZA,1673196071
Cherskiy,68.75,161.3,-37.95,100,99,5.86,RU,1673196072
Miyako,39.6367,141.9525,33.75,74,74,5.19,JP,1673196073
Dikson,73.5069,80.5464,-30.32,93,25,12.19,RU,1673196075
Tuktoyaktuk,69.4541,-133.0374,-2.2,84,75,4.61,CA,1673196076
Leticia,-4.2153,-69.9406,75.25,100,100,3.44,CO,1673196078
Necochea,-38.5473,-58.7368,86.49,39,0,10.22,AR,1673196079
Codrington,-38.2667,141.9667,61.07,94,3,10.2,AU,1673196081
Nizhniy Tsasuchey,50.5167,115.1333,-4.25,96,6,3.6,RU,1673196082
Mayna,54.1135,47.6231,-17.27,99,97,6.58,RU,1673196083
Miraflores,19.2167,-98.8083,66.97,33,0,3.89,MX,1673196085
Boa Vista,2.8197,-60.6733,84.18,65,75,4.61,BR,1673196086
Ribeira Grande,38.5167,-28.7,64.8,94,75,13.8,PT,1673196087
Burlington,39.8835,-74.6413,41.85,56,0,6.91,US,1673195997
Lebu,-37.6167,-73.65,66.87,70,3,9.31,CL,1673196090
Hobart,-42.8794,147.3294,60.66,88,2,8.05,AU,1673195826
Zabul Province,32.25,67.25,34.88,100,100,2.62,AF,1673196092
Keningau,5.3378,116.1602,71.37,99,100,1.16,MY,1673196094
La Spezia,44.1105,9.8434,59.0,91,100,5.99,IT,1673196095
Rock Sound,24.9,-76.2,75.33,78,86,16.6,BS,1673196096
Atuona,-9.8,-139.0333,78.33,73,2,15.35,PF,1673196098
Mandalgovi,45.7625,106.2708,14.86,63,0,4.74,MN,1673196099
Yulara,-25.2406,130.9889,69.84,55,100,19.55,AU,1673196100
Kununurra,-15.7667,128.7333,76.98,88,61,1.14,AU,1673196102
Atbasar,51.8,68.3333,-12.98,94,95,13.51,KZ,1673196103
Kavieng,-2.5744,150.7967,81.55,77,76,9.73,PG,1673196104
Dingle,10.9995,122.6711,72.81,91,100,8.52,PH,1673196106
Jega,12.2175,4.3792,87.13,12,16,8.99,NG,1673196107
Cape Town,-33.9258,18.4232,73.81,75,0,23.02,ZA,1673195932
Fortuna,40.5982,-124.1573,50.34,94,40,10.36,US,1673196109
Nola,40.922,14.5329,59.41,89,53,4.92,IT,1673196111
Bredasdorp,-34.5322,20.0403,71.85,71,0,10.31,ZA,1673196112
Mataura,-46.1927,168.8643,48.11,92,0,2.73,NZ,1673196113
Ponta do Sol,32.6667,-17.1,70.0,79,74,7.27,PT,1673196115
Port Hedland,-20.3167,118.5667,80.65,83,75,10.36,AU,1673196116
Busselton,-33.65,115.3333,58.96,84,0,13.51,AU,1673196117
Avarua,-21.2078,-159.775,73.45,94,75,6.91,CK,1673195901
Saint Paul Harbor,57.79,-152.4072,27.91,74,40,11.5,US,1673196120
Carnarvon,-24.8667,113.6333,74.68,73,0,24.83,AU,1673196121
Arraial do Cabo,-22.9661,-42.0278,73.36,94,75,8.05,BR,1673196122
Simao,22.7886,100.9748,48.81,75,0,2.59,CN,1673196125
George Town,5.4112,100.3354,80.53,87,20,3.44,MY,1673196127
